03/07/2026 13:20:26 
80019711_Hp10.txt 
Soma: 846770
Dose: 846770.0
Tempo;Leitura;Luz;Corrente 
42.0;2;876;530 
42.1;2;876;530 
42.2;0;876;530 
42.3;3;876;530 
42.4;1;876;530 
42.5;1;876;530 
42.6;1;876;530 
42.7;4;876;530 
42.8;2;876;530 
42.9;4;876;530 
43.0;0;876;530 
43.1;1;876;530 
43.2;0;876;530 
43.3;0;876;530 
43.4;2;876;530 
43.5;3;876;530 
43.6;0;876;530 
43.7;2;876;530 
43.8;2;876;530 
43.9;1;876;530 
44.0;1;876;529 
44.1;2;876;530 
44.2;2;876;530 
44.3;2;876;529 
44.4;1;876;530 
44.5;0;876;530 
44.6;2;876;530 
44.7;0;876;529 
44.8;1;876;530 
44.9;2;876;530 
45.0;1;876;530 
45.1;1;876;530 
45.2;3;876;529 
45.3;3;876;529 
45.4;5;876;530 
45.5;1;876;530 
45.6;1;876;530 
45.7;2;876;530 
45.8;2;876;530 
45.9;1;876;529 
46.0;2;876;530 
46.1;3;876;529 
46.2;3;876;529 
46.3;4;876;529 
46.4;2;876;530 
46.5;1;876;529 
46.6;1;876;530 
46.7;0;876;529 
46.8;1;876;529 
46.9;1;876;529 
47.0;2;876;529 
47.1;1;876;529 
47.2;3;876;529 
47.3;1;876;529 
47.4;1;876;529 
47.5;0;876;530 
47.6;3;876;529 
47.7;2;876;529 
47.8;1;876;530 
47.9;1;876;529 
48.0;2;876;529 
48.1;1;876;530 
48.2;4;876;529 
48.3;4;876;529 
48.4;2;876;529 
48.5;1;876;529 
48.6;2;876;529 
48.7;1;876;529 
48.8;2;876;529 
48.9;1;876;529 
49.0;0;876;529 
49.1;0;876;529 
49.2;0;876;530 
49.3;2;876;529 
49.4;2;876;529 
49.5;5;876;529 
49.6;1;876;529 
49.7;2;876;529 
49.8;1;876;529 
49.9;3;876;529 
50.0;2;876;529 
50.1;1;876;529 
50.2;1;876;530 
50.3;1;876;529 
50.4;1;876;529 
50.5;3;876;529 
50.6;1;876;529 
50.7;0;876;529 
50.8;2;876;529 
50.9;0;876;529 
51.0;1;876;529 
51.1;1;876;529 
51.2;1;876;530 
51.3;0;876;529 
51.4;2;876;529 
51.5;0;876;529 
51.6;1;876;529 
51.7;0;876;529 
51.8;0;876;529 
51.9;2;876;529 
52.0;0;876;529 
52.1;1;876;529 
52.2;2;876;529 
52.3;1;876;529 
52.4;2;876;529 
52.5;0;876;529 
52.6;0;876;529 
52.7;1;876;529 
52.8;0;876;529 
52.9;1;876;529 
53.0;1;876;529 
53.1;0;876;529 
53.2;2;876;529 
53.3;1;876;529 
53.4;0;876;529 
53.5;0;876;528 
53.6;1;876;528 
53.7;2;876;528 
53.8;1;876;529 
53.9;2;876;528 
54.0;2;876;528 
54.1;2;876;528 
54.2;1;876;528 
54.3;2;876;529 
54.4;0;876;529 
54.5;0;876;528 
54.6;1;876;528 
54.7;2;876;528 
54.8;0;876;528 
54.9;0;876;528 
55.0;2;876;529 
55.1;1;876;528 
55.2;3;876;528 
55.3;1;876;529 
55.4;3;876;528 
55.5;0;876;528 
55.6;0;876;528 
55.7;1;876;528 
55.8;2;876;528 
55.9;2;876;528 
56.0;1;876;529 
56.1;0;876;528 
56.2;0;876;528 
56.3;3;876;528 
56.4;0;876;528 
56.5;1;876;528 
56.6;1;876;528 
56.7;0;876;528 
56.8;4;876;528 
56.9;0;876;528 
57.0;1;876;528 
57.1;1;876;529 
57.2;0;876;528 
57.3;0;876;528 
57.4;0;876;529 
57.5;1;876;528 
57.6;0;876;529 
57.7;0;876;528 
57.8;2;876;528 
57.9;0;876;528 
58.0;0;876;528 
58.1;1;876;528 
58.2;0;876;529 
58.3;3;876;528 
58.4;0;876;528 
58.5;1;876;528 
58.6;0;876;529 
58.7;0;876;528 
58.8;0;876;528 
58.9;0;876;528 
59.0;1;876;528 
59.1;0;876;528 
59.2;2;876;528 
59.3;0;876;528 
59.4;0;876;529 
59.5;0;876;528 
59.6;0;876;528 
59.7;0;876;528 
59.8;0;876;529 
59.9;0;876;528 
60.0;0;876;528 
60.1;0;
